GeneID	basemean-S_0d	basemean-S_3d
CL4323.Contig3_All	19.16162381	3.335802924
CL5182.Contig2_All	202.5792437	46.71489031
CL509.Contig2_All	5.299783355	0.096023032
CL5041.Contig8_All	9.39657524	1.144129753
CL7249.Contig3_All	10.67525519	49.03231796
CL10458.Contig1_All	6.036686471	0.367572996
CL9783.Contig1_All	46.56561342	199.4587324
CL3007.Contig1_All	133.2047402	30.50659952
CL10043.Contig2_All	182.1518288	42.40074945
CL1487.Contig4_All	3.096562624	17.95160746
CL7824.Contig1_All	9.118095885	1.080295352
CL9955.Contig2_All	15.41159425	2.517314378
CL2642.Contig14_All	7.14651234	0.657565444
CL3148.Contig3_All	1.342845749	10.1807413
CL5367.Contig1_All	5.179913074	0.082301379
Unigene14672_All	110.3843093	25.46594534
CL1762.Contig3_All	26.04528896	4.960514921
CL5250.Contig1_All	5.513594357	0.239785785
Unigene12185_All	5.184146983	0.102336473
CL447.Contig24_All	6.470957469	0.519320292
CL5041.Contig14_All	7.891789923	0.82267278
CL10119.Contig2_All	36.78263231	7.799144496
Unigene14926_All	26.10204373	5.068374016
CL3084.Contig2_All	6.317668144	0.466394087
Unigene7637_All	17.27201073	3.011415359
CL1244.Contig1_All	85.55683408	19.53906865
Unigene13416_All	145.75252	35.26020544
Unigene6605_All	50.63247674	11.36132943
Unigene6814_All	97.98221568	22.81107769
Unigene15485_All	5.438733168	0.237333523
Unigene13699_All	5.121066924	0.097848032
CL1576.Contig4_All	33.86872617	7.084420553
CL9783.Contig2_All	31.04861657	128.8427199
CL12223.Contig2_All	14.6552162	2.413629401
Unigene11136_All	27.16711863	5.358466164
CL2012.Contig5_All	11.5877871	1.683064404
CL9123.Contig2_All	123.1188062	29.66779729
CL639.Contig7_All	26.93442163	5.32038111
CL2345.Contig2_All	7.765298148	0.827288824
Unigene8322_All	2.448533667	14.64487498
CL686.Contig8_All	18.75481573	81.78537804
Unigene11139_All	23.9195367	4.524254104
CL10030.Contig1_All	18.91572269	81.76057184
CL1608.Contig1_All	14.77594642	2.511873693
CL8175.Contig1_All	5.024193641	0.063741003
Unigene9557_All	17.92633296	77.21462414
CL3007.Contig3_All	79.83924242	18.61100372
CL3019.Contig5_All	2.772868543	16.09293485
CL3779.Contig5_All	18.0576925	3.408166626
Unigene298_All	14.94283857	65.25173714
Unigene1028_All	5.30844346	0.223051305
CL3052.Contig11_All	9.921561312	1.397685497
CL12336.Contig2_All	7.594706153	0.814307007
CL5437.Contig2_All	16.03721085	2.806255472
